st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit_1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit_2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit_3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits
02989,wzHQu,Sofia,Santos,19,Female,Myanmar,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
54565,d8td9,Ismael,Reyes,28,Male,Philippines,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
39847,B2lWK,Angelica,Santos,20,Female,Thailand,Marketing Strategy and Consumer Behavior,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
85282,9vY0b,Ricardo,Cruz,28,Male,Singapore,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
81969,gXjzu,Miguel,Santos,30,Male,Thailand,Information Technology and Systems,WOM1000,Women in STEM,Sem 1,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
70446,b79RM,Fernando,Ramos,32,Male,Myanmar,Marketing Strategy and Consumer Behavior,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
43616,QT1Ue,Sofia,Ramos,33,Female,Vietnam,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
77758,27EKF,Jessica,Torres,25,Female,Cambodia,Marketing Strategy and Consumer Behavior,BCO7005,Data Security and Governance,Sem 2,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
15525,RINO5,Jose,Cruz,22,Male,Vietnam,Operations and Supply Chain Management,BCO7002,Experience Management,Sem 4,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
30955,8A68I,Fernando,Santos,21,Male,Vietnam,Marketing Strategy and Consumer Behavior,WOM1000,Women in STEM,Sem 1,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
40837,cqDsj,Roberto,Torres,19,Male,Laos,Leadership and Strategic Management,BCO6008,Predictive Analytics,Sem 2,12,BCO7002,Experience Management,Sem 4,12.0,,,,
23993,Ihv8m,Alicia,Fernandez,23,Female,Indonesia,Data-Driven Decision Making and Analytics,BCO7003,Analytics Project M anagement,Sem 1,12,BCO7002,Experience Management,Sem 4,12.0,,,,
90607,jIf7a,Angelica,Santos,30,Female,Indonesia,Data-Driven Decision Making and Analytics,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
86395,l88v7,Jessica,Garcia,21,Female,Thailand,Operations and Supply Chain Management,BCO7005,Data Security and Governance,Sem 2,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
27324,3vFDE,Maria,Torres,33,Female,Thailand,General Business and Management,WOM1000,Women in STEM,Sem 1,12,BCO7002,Experience Management,Sem 4,12.0,,,,
35019,JdCTP,Isabela,Morales,21,Female,Philippines,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
96510,FYkJS,Fernando,Gonzalez,30,Male,Vietnam,Digital Media and Content Creation,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
77025,qgVL8,Jose,Garcia,34,Male,Thailand,General Business and Management,BCO7007,Machine Learning,Sem 2,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
58987,UG2ce,Carmen,Rivera,34,Female,Philippines,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0
91965,EpIT2,Angelica,Santos,26,Female,Vietnam,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
59831,nb0kh,Juan,Cruz,31,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
