st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
43139,Sc5zV,Carlos,Torres,19,Male,Thailand,General Business and Management,BCO7003,Analytics Project M anagement,1,12,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
48817,m6Z9w,Alicia,Cruz,25,Female,Myanmar,General Business and Management,BCO7002,Experience Management,4,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
87584,QNNGe,Alicia,Garcia,30,Female,Philippines,General Business and Management,BCO7007,Machine Learning,2,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
96123,1b6Dp,Antonio,Flores,25,Male,Vietnam,General Business and Management,BCO7007,Machine Learning,2,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
74765,HJ2I3,Carmen,Garcia,32,Female,Malaysia,Digital Media and Content Creation,BCO7002,Experience Management,4,12,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
24841,I2170,Sofia,Torres,25,Female,Brunei,Digital Media and Content Creation,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
56304,QTREk,Veronica,Rivera,35,Female,Malaysia,Marketing Strategy and Consumer Behavior,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
10140,Notn2,Ismael,Ramos,19,Male,Vietnam,Leadership and Strategic Management,BCO7002,Experience Management,4,12,BCO6008,Predictive Analytics,2,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
01021,lYSJ9,Roberto,Garcia,35,Male,Vietnam,Leadership and Strategic Management,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
00143,YPbz4,Isabela,Santos,22,Female,Philippines,Information Technology and Systems,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
