st_id,password,first_name,last_name,age,gender,nationality,interest_1,interest_2,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
92877,Y8PFu,Maria,Fernandez,33,Female,Singapore,Machine Learning,Economic Theory,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
41335,rHUJp,Roberto,Martinez,24,Male,Thailand,Business Intelligence,Customer Experience,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,
01249,ZwVKe,Sofia,Gonzalez,24,Female,Philippines,Programming (Python),Market Analysis,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
56626,jwfAn,Miguel,Fernandez,20,Male,Singapore,Market Analysis,Financial Analysis,BCO7002,Experience Management,4,12,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,,,,,
45718,L2UHD,Antonio,Ramos,28,Male,Vietnam,Programming (Python),Data Science,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
68290,RP6Av,Veronica,Gonzalez,24,Female,Philippines,Quantitative Analysis,Business Intelligence,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2,12.0,,,,
82330,flo4m,Juan,Fernandez,26,Male,Cambodia,Business Intelligence,Economic Theory,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
91553,s8WUQ,Sofia,Rivera,21,Female,Brunei,General Business Interest,Business Intelligence,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
78913,56fRF,Ricardo,Ramos,21,Male,Malaysia,Customer Experience,Economic Theory,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
68864,bAFgN,Carmen,Rivera,35,Female,Vietnam,Market Analysis,Customer Experience,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
49063,h92Bw,Alicia,Cruz,33,Female,Laos,Financial Analysis,General Business Interest,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
