st_id,password,first_name,last_name,age,gender,nationality,completed_units_1,completed_units_1_sem,completed_units_2,completed_units_2_sem,completed_units_3,completed_units_3_sem,interest
65233,d3rJF,Fernando,Morales,32,Male,Laos,BCO7000,2,BCO7006,1.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
65956,zCYAn,Jessica,Santos,35,Female,Vietnam,BCO7004,4,BEO6000,3.0,BCO7003,1.0,Marketing Strategy and Consumer Behavior
22829,DgOln,Jessica,Rivera,22,Female,Cambodia,BCO7002,4,BEO6000,3.0,,,Data-Driven Decision Making and Analytics
59053,tSw5g,Roberto,Torres,25,Male,Singapore,BEO6600,2,,,,,Data-Driven Decision Making and Analytics
13384,jDzGL,Carlos,Fernandez,22,Male,Myanmar,BCO7000,4,BCO7006,1.0,BCO7002,4.0,General Business and Management
63547,MGsXs,Jose,Fernandez,18,Male,Vietnam,BCO7006,1,BEO6000,3.0,BCO7004,4.0,Information Technology and Systems
52339,XVgf8,Ismael,Ramos,27,Male,Cambodia,BCO7004,4,"	
WOM1000",1.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
89952,n63OX,Miguel,Rivera,35,Male,Laos,BCO7000,1,,,,,Operations and Supply Chain Management
74973,Ugt8d,Roberto,Torres,21,Male,Thailand,BEO6000,3,BCO7005,2.0,,,Financial and Managerial Accounting
48519,5ASMy,Jose,Santos,18,Male,Singapore,BCO7005,2,BEO6000,3.0,,,Leadership and Strategic Management
34362,FVrVu,Carmen,Ramos,35,Female,Indonesia,BCO7004,4,BEO6000,3.0,,,General Business and Management
35971,j7xA0,Angelica,Santos,23,Female,Thailand,BCO7005,2,BCO7000,1.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
81522,5IpP5,Alberto,Ramos,30,Male,Malaysia,BCO7002,4,BCO7005,2.0,,,Data-Driven Decision Making and Analytics
62654,upN72,Veronica,Morales,25,Female,Malaysia,BCO7000,4,BCO7006,1.0,"	
WOM1000",1.0,Data-Driven Decision Making and Analytics
94900,kyBCP,Isabela,Martinez,26,Female,Cambodia,BAO6504,1,BCO7007,2.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
01048,Z8F9l,Rosa,Rivera,29,Female,Philippines,BEO6600,2,BCO7000,1.0,BCO7004,4.0,Information Technology and Systems
60138,VwUAk,Antonio,Fernandez,28,Male,Indonesia,BCO7000,2,BCO7006,3.0,BEO6000,3.0,Financial and Managerial Accounting
64516,dzepa,Maria,Ramos,31,Female,Philippines,BEO6000,3,BCO7000,1.0,,,Leadership and Strategic Management
66221,RNo1J,Rosa,Ramos,35,Female,Indonesia,BCO6008,2,,,,,Operations and Supply Chain Management
93290,j96Yl,Miguel,Rivera,28,Male,Myanmar,BCO7002,4,BAO6504,1.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
49920,37teg,Roberto,Santos,30,Male,Indonesia,BCO7000,1,BCO6008,2.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
25764,RmhHn,Veronica,Cruz,23,Female,Myanmar,BCO7004,4,BCO7003,1.0,BCO7007,2.0,Data-Driven Decision Making and Analytics
45203,XstEP,Carmen,Garcia,20,Female,Indonesia,BCO7002,4,,,,,Marketing Strategy and Consumer Behavior
32329,Ms5eG,Isabela,Santos,20,Female,Singapore,BEO6600,2,,,,,Operations and Supply Chain Management
81548,eddt0,Luisa,Santos,35,Female,Malaysia,BCO7006,1,,,,,General Business and Management
66334,wQ1pv,Rosa,Ramos,27,Female,Laos,BCO6008,2,,,,,Leadership and Strategic Management
70147,yXILN,Miguel,Ramos,26,Male,Vietnam,BCO7002,4,,,,,Operations and Supply Chain Management
51388,eib7C,Roberto,Martinez,25,Male,Brunei,BAO6504,1,BCO7004,4.0,,,Financial and Managerial Accounting
20786,qdMk3,Fernando,Torres,23,Male,Brunei,BCO7004,4,BEO6600,2.0,,,Digital Media and Content Creation
60998,9sNlp,Sofia,Fernandez,29,Female,Vietnam,BCO7000,1,BCO7004,4.0,BCO6008,2.0,Data-Driven Decision Making and Analytics
47743,ghVlk,Luisa,Morales,33,Female,Singapore,BCO7007,2,BEO6000,3.0,"	
WOM1000",1.0,Operations and Supply Chain Management
22712,fJ8ep,Alberto,Torres,28,Male,Philippines,BEO6000,3,,,,,General Business and Management
60918,yabR2,Angelica,Torres,34,Female,Brunei,BCO7002,4,BCO7005,2.0,BEO6000,3.0,Digital Media and Content Creation
02897,c4FiV,Antonio,Martinez,25,Male,Laos,BCO6008,2,,,,,Information Technology and Systems
01944,ujSPZ,Jessica,Santos,21,Female,Philippines,BCO6008,2,BCO7000,1.0,,,Operations and Supply Chain Management
77082,i0Alq,Luisa,Ramos,19,Female,Thailand,BCO7000,2,BCO7006,2.0,BCO7007,2.0,General Business and Management
86087,90W2o,Juan,Flores,31,Male,Thailand,BEO6000,3,BCO6008,2.0,,,Digital Media and Content Creation
19702,UWKr0,Antonio,Garcia,20,Male,Singapore,BEO6600,2,BEO6000,3.0,,,Leadership and Strategic Management
19938,EStDC,Sofia,Rivera,22,Female,Indonesia,BEO6000,3,,,,,Financial and Managerial Accounting
40120,klzPq,Angelica,Martinez,19,Female,Cambodia,BCO6008,2,BEO6000,3.0,BCO7004,4.0,Financial and Managerial Accounting
99073,l9RGn,Maria,Morales,28,Female,Cambodia,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Financial and Managerial Accounting
82588,XQnh7,Sofia,Ramos,35,Female,Philippines,BCO7002,4,,,,,Information Technology and Systems
54603,pI2Sv,Sofia,Flores,25,Female,Brunei,BCO7003,1,BCO7004,4.0,BEO6000,3.0,Information Technology and Systems
87811,Vuy6n,Jessica,Morales,30,Female,Thailand,BCO7002,4,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
46341,AJqLO,Jessica,Martinez,26,Female,Indonesia,BCO7007,2,,,,,Information Technology and Systems
49801,r7Hqs,Roberto,Flores,30,Male,Thailand,BCO7007,2,,,,,Digital Media and Content Creation
04375,DeA2F,Carlos,Ramos,25,Male,Laos,BCO7005,2,BCO7002,4.0,,,Leadership and Strategic Management
08645,11fAq,Alicia,Morales,26,Female,Myanmar,BCO7002,4,BEO6000,3.0,,,General Business and Management
06267,4LWCu,Fernando,Reyes,21,Male,Laos,BCO7000,3,BCO7006,1.0,BEO6000,3.0,General Business and Management
74740,qDoVE,Carmen,Torres,24,Female,Brunei,BCO7000,3,BCO7006,4.0,BEO6000,3.0,Leadership and Strategic Management
49628,86bQM,Luisa,Flores,35,Female,Cambodia,BEO6000,3,BEO6600,2.0,,,Data-Driven Decision Making and Analytics
98021,6wrb7,Jessica,Cruz,35,Female,Malaysia,BCO6008,2,,,,,Digital Media and Content Creation
78425,hNUgA,Carmen,Rivera,25,Female,Singapore,BEO6000,3,,,,,General Business and Management
87074,XhE4N,Jessica,Fernandez,25,Female,Philippines,BEO6000,3,BCO6008,2.0,,,Marketing Strategy and Consumer Behavior
50500,lGnIo,Luisa,Santos,28,Female,Indonesia,BEO6000,3,BCO7007,2.0,,,Operations and Supply Chain Management
87385,IVeVy,Antonio,Martinez,35,Male,Laos,BCO7004,4,BCO7003,1.0,BEO6600,2.0,Digital Media and Content Creation
36209,6VuWr,Isabela,Flores,19,Female,Malaysia,BCO7002,4,"	
WOM1000",1.0,BCO6008,2.0,Financial and Managerial Accounting
22404,32Gbk,Roberto,Fernandez,21,Male,Thailand,BCO7002,4,BEO6000,3.0,,,Leadership and Strategic Management
20487,rzPvF,Carmen,Reyes,29,Female,Vietnam,BCO7000,4,BCO7006,2.0,BCO7004,4.0,Digital Media and Content Creation
05492,jtmss,Jose,Martinez,35,Male,Laos,BCO7000,1,BCO7006,1.0,,,Data-Driven Decision Making and Analytics
66429,4Swyp,Juan,Rivera,27,Male,Laos,BCO7002,4,,,,,Data-Driven Decision Making and Analytics
13387,G9PLF,Jose,Torres,21,Male,Malaysia,BCO7003,1,BCO7002,4.0,BEO6000,3.0,Digital Media and Content Creation
08576,YqdeV,Carlos,Fernandez,28,Male,Myanmar,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Digital Media and Content Creation
82771,vS7vQ,Sofia,Cruz,22,Female,Indonesia,BCO7002,4,BCO7005,2.0,,,Data-Driven Decision Making and Analytics
