st_id,first_name,last_name,age,gender,nationality,completed_units_1,completed_units_1_sem,completed_units_2,completed_units_2_sem,completed_units_3,completed_units_3_sem,interest
81075,Jessica,Ramos,22,Female,Vietnam,BCO7002,4,BEO6000,3.0,,,Digital Media and Content Creation
68047,Alicia,Flores,34,Female,Cambodia,BCO7004,4,,,,,General Business and Management
34841,Antonio,Cruz,35,Male,Laos,BCO7004,4,BCO7000,1.0,,,General Business and Management
29955,Antonio,Cruz,21,Male,Myanmar,BEO6000,3,BCO7005,2.0,BCO7002,4.0,General Business and Management
77356,Jose,Gonzalez,19,Male,Vietnam,BCO7000,4,BCO7006,3.0,BCO7002,4.0,Information Technology and Systems
87791,Ismael,Ramos,26,Male,Myanmar,BCO7007,2,BEO6000,3.0,,,Leadership and Strategic Management
79017,Sofia,Morales,20,Female,Cambodia,BCO7002,4,BCO7005,2.0,BEO6000,3.0,Leadership and Strategic Management
72781,Isabela,Garcia,30,Female,Philippines,BCO7004,4,,,,,Marketing Strategy and Consumer Behavior
88296,Antonio,Morales,18,Male,Laos,BCO7002,4,BCO7006,1.0,,,Information Technology and Systems
89692,Miguel,Santos,22,Male,Malaysia,"	
WOM1000",1,BEO6000,3.0,,,Digital Media and Content Creation
92311,Alberto,Fernandez,22,Male,Malaysia,BCO7002,4,BCO7003,1.0,,,Financial and Managerial Accounting
45811,Jose,Garcia,30,Male,Malaysia,BCO7000,1,BCO7006,3.0,BEO6000,3.0,Information Technology and Systems
71509,Carmen,Rivera,30,Female,Philippines,BEO6600,2,,,,,Financial and Managerial Accounting
42005,Jose,Reyes,29,Male,Malaysia,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Data-Driven Decision Making and Analytics
03022,Jose,Reyes,30,Male,Malaysia,BCO7004,4,,,,,Leadership and Strategic Management
09917,Carlos,Martinez,30,Male,Thailand,BCO7005,2,BCO7000,1.0,,,Leadership and Strategic Management
54479,Angelica,Rivera,23,Female,Cambodia,BCO6008,2,,,,,Digital Media and Content Creation
12367,Fernando,Torres,30,Male,Laos,BCO7000,1,BCO7006,3.0,BAO6504,1.0,Leadership and Strategic Management
72093,Ricardo,Reyes,35,Male,Singapore,BEO6000,3,BCO6008,2.0,,,Leadership and Strategic Management
14824,Sofia,Garcia,19,Female,Thailand,BCO6008,2,BCO7004,4.0,BCO7000,1.0,General Business and Management
48124,Luisa,Gonzalez,31,Female,Malaysia,BCO7005,2,BCO7003,1.0,,,Marketing Strategy and Consumer Behavior
96181,Isabela,Torres,22,Female,Cambodia,BCO7005,2,BEO6000,3.0,BAO6504,1.0,Information Technology and Systems
51715,Maria,Ramos,22,Female,Vietnam,BEO6000,3,BEO6600,2.0,BCO7003,1.0,General Business and Management
52302,Maria,Fernandez,33,Female,Cambodia,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Digital Media and Content Creation
30537,Roberto,Flores,19,Male,Myanmar,BCO7004,4,,,,,Data-Driven Decision Making and Analytics
13814,Angelica,Reyes,29,Female,Philippines,BCO7007,2,,,,,Financial and Managerial Accounting
33546,Miguel,Cruz,34,Male,Laos,BEO6000,3,,,,,Financial and Managerial Accounting
09178,Veronica,Torres,32,Female,Philippines,BEO6600,2,BEO6000,3.0,,,General Business and Management
90235,Ismael,Fernandez,22,Male,Brunei,BEO6000,3,,,,,Financial and Managerial Accounting
40481,Maria,Flores,18,Female,Indonesia,BCO7005,2,"	
WOM1000",1.0,,,Financial and Managerial Accounting
46963,Roberto,Ramos,23,Male,Malaysia,BEO6600,2,BCO7002,4.0,,,Marketing Strategy and Consumer Behavior
21699,Jessica,Torres,22,Female,Malaysia,BEO6000,3,BCO7007,2.0,BAO6504,1.0,Information Technology and Systems
09335,Ricardo,Santos,34,Male,Cambodia,BCO7002,4,,,,,Information Technology and Systems
09917,Angelica,Fernandez,18,Female,Thailand,BCO7006,1,,,,,Financial and Managerial Accounting
05477,Angelica,Torres,33,Female,Indonesia,BEO6000,3,,,,,Leadership and Strategic Management
43148,Luisa,Santos,32,Female,Myanmar,BEO6000,3,BCO7004,4.0,,,General Business and Management
